,아파트명,매매가(억),전세가(억),전세가율,시공일자,가압류,압류,신탁,소유권이전,임차권등기명령,근저당,근저당정규화,지역,시공일자_datetime,시공일자_년도,label
148,보람타운,1.9,1.6,0.842105263,2001-04-28 00:00:00,0,0,0,0,0,0,0.842105263,서울특별시 강서구 등촌동,2001-04-28 00:00:00,2001,0
149,아우름타운,2.85,2.4,0.842105263,2007-04-18 00:00:00,0,0,0,0,0,0,0.842105263,서울특별시 강서구 등촌동,2007-04-18 00:00:00,2007,0
150,제일아트빌,2.3,2,0.869565217,2002-03-26 00:00:00,0,0,0,0,0,1.848,1.673043478,서울특별시 강서구 등촌동,2002-03-26 00:00:00,2002,0
151,천우하이빌,1.6,0.85,0.53125,2001-06-12 00:00:00,0,0,0,0,0,0,0.53125,서울특별시 강서구 등촌동,2001-06-12 00:00:00,2001,0
152,천우하이빌,1.6,1,0.625,2001-06-12 00:00:00,0,0,0,0,0,0,0.625,서울특별시 강서구 등촌동,2001-06-12 00:00:00,2001,0
153,태진아름빌,2.95,2.8,0.949152542,1995-12-02 00:00:00,0,0,0,0,0,2.04,1.640677966,서울특별시 강서구 등촌동,1995-12-02 00:00:00,1995,0
154,효성하이빌,2.22,1.7,0.765765766,2003-07-22 00:00:00,0,0,0,0,0,0,0.765765766,서울특별시 강서구 등촌동,2003-07-22 00:00:00,2003,0
155,건영,2,1.9,0.95,2000-08-07 00:00:00,0,0,0,0,0,0,0.95,서울특별시 강서구 내발산동,2000-08-07 00:00:00,2000,0
156,낙원리더스빌,2.02,1.7,0.841584158,2002-04-10 00:00:00,0,0,0,0,0,0,0.841584158,서울특별시 강서구 내발산동,2002-04-10 00:00:00,2002,0
157,문화럭스빌,1.42,1.3,0.915492958,2002-09-26 00:00:00,0,0,0,0,0,0,0.915492958,서울특별시 강서구 내발산동,2002-09-26 00:00:00,2002,0
158,드림빌라,2.15,1.95,0.906976744,2001-12-29 00:00:00,0,0,0,0,0,1.05,1.395348837,서울특별시 강서구 내발산동,2001-12-29 00:00:00,2001,0
159,래파크,2.6,2,0.769230769,2008-10-06 00:00:00,0,0,0,0,0,0.803,1.078076923,서울특별시 강서구 내발산동,2008-10-06 00:00:00,2008,0
160,바로맨션,3.4,2.9,0.852941176,2003-03-27 00:00:00,0,0,0,0,0,0,0.852941176,서울특별시 강서구 내발산동,2003-03-27 00:00:00,2003,0
161,산호맨션,1.75,1.1,0.628571429,2002-10-18 00:00:00,0,0,0,0,0,0,0.628571429,서울특별시 강서구 내발산동,2002-10-18 00:00:00,2002,0
162,영창아트빌라,1.65,1.2,0.727272727,1997-10-28 00:00:00,0,0,0,0,0,0,0.727272727,서울특별시 강서구 내발산동,1997-10-28 00:00:00,1997,0
163,호수맨션,2.45,2.2,0.897959184,2001-09-13 00:00:00,0,0,0,0,0,0,0.897959184,서울특별시 강서구 내발산동,2001-09-13 00:00:00,2001,0
164,리빙빌,1.47,1.3,0.884353741,2002-04-13 00:00:00,0,0,0,0,0,0.165,0.996598639,경기 광명시 소하동,2002-04-13 00:00:00,2002,0
165,퍼스트빌,2.02,1.8,0.891089109,2014-06-19 00:00:00,0,0,0,0,0,0,0.891089109,서울특별시 강서구 내발산동,2014-06-19 00:00:00,2014,0
166,세윤센스빌,1.69,1.3,0.769230769,2002-01-09 00:00:00,0,0,0,0,0,0.6,1.124260355,경기 광명시 광명동,2002-01-09 00:00:00,2002,0
167,상우빌리지,1.645,1.1,0.668693009,2001-09-14 00:00:00,0,0,0,0,0,0,0.668693009,경기 광명시 광명동,2001-09-14 00:00:00,2001,0
168,류한빌라,1.18,0.45,0.381355932,2002-03-26 00:00:00,0,0,0,0,0,0,0.381355932,경기 광명시 광명동,2002-03-26 00:00:00,2002,0
169,현웅,1.9,1.4,0.736842105,1991-09-18 00:00:00,0,0,0,0,0,0,0.736842105,경기 구리시 인창동 582-3,1991-09-18 00:00:00,1991,0
170,창영주택,1.55,0.9,0.580645161,1994-11-10 00:00:00,0,0,0,0,0,0,0.580645161,경기 구리시 인창동 307-26,1994-11-10 00:00:00,1994,0
171,삼호아트,2.18,1.3,0.596330275,1991-09-30 00:00:00,0,0,0,0,0,1.287,1.186697248,경기 구리시 인창동 307-25,1991-09-30 00:00:00,1991,0
172,청림하이츠빌라트,2.7,2,0.740740741,1998-09-16 00:00:00,0,0,0,0,0,0,0.740740741,경기 구리시 인창동 312,1998-09-16 00:00:00,1998,0
